matricule_etudiant;titre_memoire;annee
16F131S;Étude comparative des 7 lignées F5 du cotonnier issues du programme de sélection 2019/2020, au témoin vulgarisé IRMA Q302 : cas de kodek(Extrême-nord Cameroun;2019-2020
16F105S;Évaluation du comportement des lignées F7 du cotonnier de série H issues du programme de sélection de la section coton aux variétés témoins vulgarisées IRMA Q302 et IRMA L457 : cas de la zone de kodek(extrême-nord);2019-2020
17Y138P;Mise en place d’une gestion de lutte contre les ravageurs et nuisibles :cas de l’huilerie de la SODECOTON de Maroua;2019-2020
17Y029P;Effet des insectes ravageurs sur la production du Riz nerica 3 en culture pluviale dans l’agrosystème de Diamaré : cas des hémiptères et hymenopteres;2019-2020
17Y002P;Impacts des extraits aqueux des graines de Neem sur le Physoderma  du maïs ;2019-2020
17Y213P;Caractéristiques agronomiques des trois variétés de pomme de terre dans le bassin de production de Rhumzou(Mayo-Tsanaga);2019-2020
17Y209P;Epidémiologie du physoderma du maïs et de la pourriture des tiges par Yamagui Rita;2019-2020
17Y091P;Les mesures de biosécurité dans la ferme porcine de la Fondation Bethléem de Mouda.;2019-2020
17Y229P;Appétence d’ un Fourrage Vert Cas De Eratica Espera;2019-2020
16F161S;Effet de Ipomoea pes-caprae à différente dose sur les paramètres zootechniques du lapin;2019-2020
17Y201P;Étude des quelque facteurs influencent la réussite de l'insémination artificielle :cas des bovins dans l'arrondissement de ngaoudere 1ere.;2019-2020
17Y097P;Les colorants alimentaires naturelles et leurs utilisations sur les produits laitiers : Essais sur le yaourt brassée et la crème glacée;2019-2020
17Y032P;Essai de formulation de biscuits à base souchets (Cyperus esculentus L.);2019-2020
17Y007P;Production et caractérisation du jus de Carissa edulis;2019-2020
17Y060P;Analyse technico-économique de la production soja dans l’arrondissement de Mokolo;2019-2020
17Y050P;Appui du gramme ACEFA et autonomisation des organisations paysannes dans le département du Logone et Chari :cas de l’arrondissement Logone-Birni, Kousseri et Makary;2019-2020
15E960S;Impact socio-économique du conseil offert aux groupements accompagnés par le programme PCP-ACEFA : cas de Makary;2019-2020
17Y146P;Analyse technico-économique de la production de la tomate dans l’arrondissement de Mokolo :contraintes et stratégie d’acteurs;2019-2020
17Y126P;Évaluation des membres des organisations de producteurs sur le fonctionnement et le mode de gestion;2019-2020
16F520S;Sécurité alimentaire dans l’arrondissement de Maroua 1er : état des lieux et stratégie d’amélioration;2019-2020
17Y515P;Effets du financement sur les exploitations familiales agropastorales(EFA) : cas des AFA accompagnés par le PCP-ACEFA dans le diamaré;2019-2020
18A0620P;Évaluation du mécanisme d’octroi du crédit agricole et leur recouvrement à la SODECOTON de Maroua 2;2019-2020
17Y476P;Analyse de l’impact du COVID-19 et résilience économique : cas de la filière tomate dans le département du Diamaré;2019-2020
17Y520P;Production du sorgho pluvial : analyse de gestion de la production dans le département du Mayo-Tsanaga : cas du CROPSEC;2019-2020
17Y062P;Contribution du PRODEL dans la promotion du développement socio-économique des populations démunies du Diamaré :cas de la commune de Maroua 1er;2019-2020
17Y508P;Diagnostic organisationnel et technique du groupement des producteurs de soja de Mbikem;2019-2020
19A0501P;Étude technico-économique des organisations paysannes :cas de la scoops de tchoffabani;2019-2020
18A0019P;Étude de l’adaptabilité de 0 accessions de sorgho pluvial dans la zone soudano-sahélienne;2020-2021
18A0012P;Étude comparative de deux variétés du sorgho dans la ferme semencières de Gazawa;2020-2021
18A0027P;Évaluation des performances agronomiques de six accessions de sésame collectées  dans la région  de l’Extrême Nord;2020-2021
18A0024P;Analyse de la performance économique de la filière Anacarde dans le Département de Diamaré;2020-2021
18A0015P;Étude de la rentabilité d’une entreprise cas de Ets SOTRALAIT;2020-2021
18A0016P;Rentabilité d’une ferme : cas de la ferme agropastorale de Foulwayna à Yagoua.;2020-2021
18A0022P;Évaluation de l’efficacité biologique des extraits de plants pour le contrôle de la chenille sur le la culture du sorgho pluvial;2020-2021
18A0010P;Caractérisation Agromaorphologique de 03 cultivars du niébé dans le Département  de Mayo Tsanaga.;2020-2021
18A0034P;Effet comparé de quelques performances  zootechniques des alévins  élevés en étang fertilisé;2020-2021
18A0011P;Étude comparative des lignées F7 représenté par la série du cotonnier issues du programme de la sélection en année 1 (EVA1)) de la campagne 2020/2021 aux témoins vulgarisés IRMA Q302 et IRMA L457 : cas de Kodek Extrême-Nord Cameroun;2020-2021
18A0002P;La culture du sorgho pluvial dans la localité de Katoual, Ville de Maroua;2020-2021
15E707S;Effet des dimensions de Trouaison sur la reprise de la croissance de l’Anacarde à You;2020-2021
18A0030P;Caractérisation agromorpholique de 09 accessions de Souchets sous l’effet de la cendre et d’un fertilisant minéral à l’Extrême-Nord;2020-2021
18A0003P;Professionnalisation des organisations paysannes dans la localité de Koza;2020-2021
18A0035P;Effets de deux de fertilisants chimiques : Uré à 46% d’N et le NPK sur la croissance et développement des bananes dans le bassin versant de TGODJO;2020-2021
17Y121P;Screening des contraintes inhérentes à la production des semences de Niébé dans la frme de multiplication et de production de semence à GAZAWA;2020-2021
18A0026P;Étude des facteurs déterminants la demande du riz sur le marché (Extrême Nord);2020-2021
18A0018P;Impact des maladies cryptogamiques sur la culture du Niebé dans la zone de Mokolo;2020-2021
18A0032P;Essai de formulation d’une ration alimentaire à base d’ingrédients locaux à moindre coûts pour vaches laitières ;2020-2021
18A0028P;Amélioration de l’incubation en cuve en vue de l’optimisation du rendement de la production à SOTRALAIT;2020-2021
18A0001P;Adaptabilité de trois espèces de Baubou pour la restauration des sols dégradés dans la ville Waza;2020-2021
18A0036P;Influence de la densité et des paramètres physicochimiques de l’eau sur la croissance et la survie des alevind dans la ferme avicole et aquacole du septentrion;2020-2021
18A0029P;Amélioration organoleptique du beurre produit à SOTRALAIT;2020-2021
18A0014P; Amélioration et standardisation des propriétes organoleptiques du yaourt ferme MIRA;2020-2021
18A0007P;Étude techno-economique de la production d’oignon dans le Département du Diamaré : Cas de Meskine;2020-2021
18A0004P;Influence de quelques mesure de Biosécurité sur la santé et la qualité du lait de vaches dans l étable de la ferme du Septentrion;2020-2021
18A0153P;Screening  des descripteurs de qualités des peaux et cuirs du déparasitage et du preszchage dans la ville de Maroua;2020-2021
18A0154P;Analyse des effets socio-econo formation auprès des jeunes et des femmes dans le Département du Diamaré commune de Bogo;2020-2021
18A0031P;Évaluation de l’adaptabilité et caractérisation Agro morphologique de 06 variétés du petit mil dans la zone Soudano sahélienne;2020-2021
18A0555P;Utilisation du Regulateur de croissance sur le cotonnier en milieu paysan dans le secteur SODECOTON;2020-2021
18A0033P;Capture et suivi des colonies d’abeilles dans les ruches modernes pour la reproduction de miel de qualité dans le bassin versant de Togodjo;2020-2021
18A0025P;Étude comparative  de deux variétés du Niébé pour la résistance aux pucerons dans la région de l’Extrême-Nord;2020-2021
18A0009P;Évaluation de la rentabilité financière de la production de 09 souchets dans la zone de l’Extrême-Nord;2020-2021
18A0021P;Caractérisation morphologique de cinq noix de cajou sur la germination à Maroua;2020-2021
18A0008P;Analyse Technoeconomique de la production du sorgho pluvial dans l’arrondissement de Maroua 1er;2020-2021
18A0386P;Effet comparé de quelques pesticides biologiques et chimiques sur les attaques des chenilles légionnaires sur trois variété de maïs dans l’Extrême-Nord Cameroun;2020-2021
18A0005P;Étude de l’utilisation des produits phytosanitaires par les producteurs de maïs dans l’arrondissement de MOKOLO;2020-2021
20C0555EP;Étude des formules alimentaire pour l’embauche bovine;2020-2021
20C0595EP;Mesure de Biosécurité , mise en places dans les fermes avicoles de Wouro;2020-2021
20C0557EP;Étude de rentabilité technoéconomique des unité de stockage d’oignon dans le Département du Diamaré;2020-2021
20C0559EP;Évaluation d’hygiène et biosécurité dans une ferme avicole de centre de formation Agropastoral et informatique de Marza;2020-2021
20C0560EP;Analyse de la chaîne de valeur manioc dans la région de l’Est Cameroun;2020-2021
20C0561EP;Effet des engrais NPK et PK sur la croissance du soja dans le Département du Mayo-Tsanaga;2020-2021
20C0562EP;Adaptabilité de trois variétés améliorées de manioc à Sanguré;2020-2021
20C0596EP;Évaluation de la méthodologie d’accompagnement des producteurs du coton;2020-2021
20C0563EP;Analyse du niveau de fonctionnement des organisations des producteurs;2020-2021
20C0564EP;Étude de l’effet des différentes formulations d’engrais minéraux sur la croissance et le rendement du riz dans les bas-fond de la vallée de la Bénoué;2020-2021
20C0566EP;Effet de la plante Ortie sur les performances de ponte des poules pondeuses;2020-2021
20C0567EP;Amélioration de la productivité et de la rentabilité du coton;2020-2021
20C0568EP;Évaluation de la rentabilité économique de la production d’aubergine dans la localité de BAZZAMA;2020-2021
20C0570EP;Renforcement de la résistance à la chaleur et des qualités sensorielles du beurre;2020-2021
20C0571EP;Évaluation des performances agromorphologiques de deux variétés locales de morelle noire à Sangmelima;2020-2021
20C0572EP;Essai de formulation du Kilishi en farce en vue d’une automatisation du procédé;2020-2021
20C0574EP;Essai de caractérisation de cinq procédés de fabrication carnée de consommation directe;2020-2021
20C0575EP;Conduite de l’embouche bovine dans le Département du Diamaré;2020-2021
20C0577EP;Effets de la fiente de poule , lisier de porc sur les paramètre de croissance de pif de bananier plantain dans l’arrondissement de MFOU;2020-2021
20C0578EP;Fabrication d’un fromage de type Emmental à base de lait de vache Thermise;2020-2021
20C0579EP;La biosécurité dans un élevage de porc;2020-2021
20C0580EP;Substitution  de soja Torrifié par le tourteau de soja dans l’alimentation des poulets chair : Effet sur les performances et sur la rentabilité économique;2020-2021
20C0581EP;Amélioration des performances technico-économiques de la société coopérative simplifiée –Bray des Agroéleveurs de Maroua1er;2020-2021
20C0582EP;Fabrication du compost pour rentabiliser la production du sorgho pluvial de la region de l’Extrême- Nord;2020-2021
20C0583EP;Performances de ponte et qualité des œufs des poules babcock brown à base des épulchures de patates douces;2020-2021
20C0585EP;Etat des lieux et condition de Biosécurité dans la ferme avicol AVISIEP;2020-2021
20C0586EP;Formulation d’un aliment poulet de chair de la 5e à la 6è semaine de croissance;2020-2021
20C0587EP;Gestion du magasin de stockage des céréales du GIC fermes dynamique des Agroéleveurs de Kalfou pour améliorer leur revenu;2020-2021
20C0588EP;Effet d’un aliment formulé sur les performances zootechniques des porcelets jusqu’au stade de sevrage dans une ferme porcine à Makabaye;2020-2021
20C0589EP;Amélioration des capacités de gestion d’une coopérative au sein de APDC : Cas de la coppérative des éleveurs des bovins de Tchabatchaba;2020-2021
20C0591EP;Effet de l’extrait des feuilles de Neem sur la culture de mais à Gayak;2020-2021
20C0592EP;Étude technique et économique de l’embauche ovine dans le Diamaré;2020-2021
20C0593EP;Étude des effets combinés de densité et de dose d’engrais sur les paramètres agronomiques du riz de bas-fond ;2020-2021
20C0594EP;Criblage variétale du niébé pour la précocité en zone soudano-sahielienne;2020-2021
20C0597EP;Analyse Technico-économique de la production de la pomme de  terre dans la commune de Mogodé;2020-2021
13Z694S;Dimensionnement de la chaussée et ouvrage de franchissement : cas de route N°1 Maroua –Moro entre pk10-pk20.;2018-2019
13Z162S;Utilisation des matériaux locaux pour une conception intégrée par l’approche d’une architecture bioclimatique : projet de construction d’un centre commercial à Maroua au Cameroun;2018-2019
13Z701S;Architecture écologique valorisation du patrimoine touristique au Cameroun à travers la conception d’un complexe touristique.;2018-2019
14A406S;Dimensionnement d’une structure de chaussée en béton bitumineux : cas du tronçon du centre hospitalier régional de Maroua long 1.2 km.;2018-2019
17Y568P;Étude comparative entre le BAEL et l’EURO CODE 2. Cas pratique d’un bâtiment de type R+6 à usage d’hôtel  dans la ville de Yaoundé.;2018-2019
14A369S;Méthodes d’optimisation des travaux de construction et réhabilitation des routes revêtues : cas de construction et  réhabilitation des routes départementales de Garoua-Bénoué en cours de réalisation par l’entreprise croisière BTP.;2018-2019
17Y255P;Étude technique pour la réhabilitation des route : cas des travaux de la voirie urbaine de Maroua lot 2, marché N°0005/M/CUM/CIPM-TR/2018.;2018-2019
13Z248S;Valorisation du patrimoine architectural sahélien : cas de la construction du complexe touristique culturel dans la ville de Maroua.;2018-2019
14A407S;Conception du bâtiment en appliquant une démarche haute qualité environnementale : cas de projet de conception du marché frontalier a Tourou dans l’arrondissement de Mokolo.;2018-2019
14A238S;Conception, assainissement et dimensionnement des éléments de structure d’un stade annexe de football dans la ville de Maroua.;2018-2019
14A513S;Conception et dimensionnement d’un pont mixte acier-béton : cas du pont mayo Pintchoumba;2018-2019
14A416S;Étude de faisabilité d’un projet de génie civil : cas de la construction d’un centre commerciale au marché abattoir de Maroua.;2018-2019
17Y565P;Conception et dimensionnement de la structure des bâtiments d’une résidence pour citer estudiantine dans la ville de Maroua sis à Zokok ladéo;2018-2019
13Z260S;Architecture verte- architecture écologique : conception d’un complexe touristique dans la ville de Maroua.;2018-2019
14A525S;Projet de construction de la route Maroua –Bogo entre le pk15+000-pk18+000;2018-2019
17Y308P;Étude de faisabilité technique et socio-environnementale du projet de construction du marché frontalier d’AMCHIDE, commune de kolofata, département du mayo Sava, région de l’extrême nord;2018-2019
17Y493P;Conception et dimensionnement d’un bloc des logements sociaux dans la ville de Bafia.;2018-2019
17Y451P;Conception des bâtiments  autonomes dans le cadre de la protection de l’environnement et de l’économie de l’énergie : cas des régions désertique.;2018-2019
17Y258P;Conception et analyse des structures : cas d’un immeuble à usage multimédia et sportif (R+2) sis à Ndjamena.;2018-2019
17Y594P;Étude technique en vue de la construction d’une route de longueur 2.9 km à  Garoua projet CAN 2021;2018-2019
14A420S;Réalisation des travaux de butinage du tronçon de route : Nkoumadjap-Nkolfong-Oveng dans l’arrondissement de Zoetele région du centre sud.;2018-2019
17Y593P;Les normes de construction hôtelière au Cameroun : cas d’un hôtel de type 5*.;2018-2019
14A600S;Conception architecturale et dimensionnement de chaussée en zone sahélienne : cas de la route Maltam-Fotokol dans la région de l’extrême nord du Cameroun.;2018-2019
14A702S;Étude de dégradation précoce de la route en terre à l’extrême nord Cameroun : cas du tronçon  Yagoua-Tchaochai-Tchatibali.;2018-2019
14A703S;Étude du comportement d’une structure en hauteur vis-à-vis du vent : cas pratique d’un hôtel (SS+R+8) sis à Yaoundé lieu-dit Fougerol.;2018-2019
17Y354P;Travaux de bitumage des routes : cas de la voirie urbaine de la ville de Maroua, quartier Djarengol, tronçon 2 (317ml).;2018-2019
14A490S;Étude technique des travaux d’entretien routier : cas de la voie école papyrus-collège le Nil au lieu-dit Logpom arrondissement de Douala 5e département de  Wouri, région du littoral.;2018-2019
14A309S;Conception et étude structurale d’un immeuble à usage d’habitation sous-sol R + 10 avec piscine sur toiture terrasse végétalisée dans la ville de Yaoundé;2018-2019
17Y412P;Contribution au dimensionnement des structures de chaussée sur sol gonflants : application a la route de Maroua-Bogo.;2018-2019
14A486S;Protection de l’environnement à travers l’architecture bioclimatique : conception d’un centre d’accueil dans la ville de Maroua.;2018-2019
14A568S;Étude hydraulique et dimensionnement de la chaussée en vue de l’entretien de la route « borne fontaine Emena-lycée d’Emana-hopital deo gracias-carrefour parcours vita » dans la ville de yaoundé.;2018-2019
17Y401P;Renforcement en équipement socio-éducatif au Tchad : projet de construction d’un complexe national de réinsertion des enfants de la rue à N’djamena.;2018-2019
18A0487P;Utilisation des produits stabilisant dans l'entretien routier;2019-2020
15E926S;Analyses des effets de rupture de la digue du lac Maga et proposition des solutions techniques de lutte contre les inondations;2019-2020
15E163S;Réaffectation des valeurs culturelles africaine à l'architecture contemporaine : cas de la conception d'un stade de football dans la ville de Maroua ;2019-2020
18A0500P;Le choix d'une structure de chaussée dans la zone sahélienne : cas de la route nationale n°1 (lot n°1 Maroua Mora);2019-2020
15E255S;Études techniques en vue de l’aménagement et de bitumage de la route : cas du tronçon de route Balaza - Diguir Hodande (1,8 km), région de l'Extreme-Nord;2019-2020
15E927S;Interactions des fondations et de sols karal et types de solutions de constructions : cas des travaux de construction de la fondation de l'immeuble R+1 devant servir au transit des enfants vulnerables et autonomisation de l'ong aldepa au quartier domayo a maroua;2019-2020
15E065S;Aménagement de l’espace gagne par la protection des berges de Mayo Kaliao;2019-2020
18A0489P;Évaluation de la variation du temps d'imbibition du cbr d'un materiau : cas de la zone du projet Nkolessong – Nding;2019-2020
15E110S;Valorisation des matériaux locaux  dans la région de Tandjile au Tchad : projet de construction d'un centre culturel dans la ville de Kelo;2019-2020
18A0495P;Contribution au dimensionnement de la couche de forme  sur la nationale n°1 : cas de la route Maroua-Mora du pk06 au pk13;2019-2020
18A0497P;Conception, étude et dimensionnement d'un pont poutre mixte (ba + acier);2019-2020
18A0490P;Conception et dimensionnement des chaussées en béton compacte au rouleau bcr, cas du projet de réhabilitation du tronçon Doulek-Dakatak-Meri sur un linéaire de 11,5 km;2019-2020
18A0496P;Étude d'analyse en régression linéaire multiple des matériaux d'emprunts et prédiction de cbr : cas des emprunts du projet Mengong – Sangmelima;2019-2020
15E112S;Projet de réhabilitation du tronçon carrefour total Domayo au carrefour Djarma;2019-2020
18A0498P;Advanced modeling and simulation of structural horizontal elements : cas study of industrial pavement under different loads and implementation techniques ;2019-2020
15E928S;Conception, étude technique d'un amphi de 1000 places au campus de Ouro Tchede et proposition d'aménagement du site;2019-2020
14A759S;Utilisation des  matériaux locaux cas d'un duplex à usage d'habitation ;2019-2020
18A0565P;Contribution à l'amélioration du confort thermique par un matériaux composite pour bâtiment à usage d'habitation : cas de Maroua ;2019-2020
14A536S;Étude technique de revetement d'une chaussée en bcr dans la ville de Garoua : cas du tronçon b4 : rond point Yelwa – Délégation tourisme;2019-2020
18A0491P;Interventions de la géotechnique  dans le choix technique de la protection des berges du Mayo Kaliao (Extreme-Nord Cameroun);2019-2020
14A283S;Conception et dimensionnement d'un pont sur le Mayo Gouloungou;2019-2020
15E893S;Assainissement des eaux pluviales en milieu urbain : cas de la commune de maroua 3eme;2019-2020
17Y387P;Bitumage et assainissement d'une route : cas d'un tronçon de 8 km (pk0+00 - pk8+00) du projet Maroua-Bogo;2019-2020
14A701S;Projet d’exécution d’un bâtiment R+2 à usage de bureau administratif pour le compte  de la délégation de communication de Garoua ;2019-2020
15E035S;Conception et réalisation d'une unité d'habitation avec l'emploi d'une architecture bioclimatique ;2019-2020
15E129S;Conception d'un musée national à Maroua ;2019-2020
15E929S;Études technique en vue de la construction de la voirie urbaine : cas du tronçon Kotto-Logpom dans la ville de Douala;2019-2020
18A0492P;An ideal approach to higway failures prevention;2019-2020
15E059S;Étude et suivi de la procédure d'exécution des travaux de réhabilitation et/ou  de construction des routes à Garoua cas du tronçon place des fêtes - pont Ngouloungoum;2019-2020
15E128S;Étude stato-dynamique d’une structure en béton arme d’un immeuble R+4  a N'djamena sis au quartier aérogare.;2019-2020
18A0568P;Étude dynamique : analyse manuelle et numérique dans le cadre d'un bâtiment de type R+6 a usage mixte situe dans la ville de Douala - Cameroun;2019-2020
18A0571P;Limites des études statiques lors du dimensionnement  des ouvrages en béton arme dans la zone du Septentrion : cas pratique d'un bâtiment R + 4 a usage d'habitation;2019-2020
15E223S;Approche multi critère d'aide au choix des matériaux de construction des bâtiments à usage d'habitation au Cameroun;2019-2020
13Z146S;Valorisation et innovations des architectures traditionnelles de l'Extreme-Nord : cas de l’hôtel de ville de Moutourwa;2019-2020
15E034S;Étude technique et mise en œuvre d'une route en béton bitumineux et enduit superficiel tricouche : cas de l’aménagement des voies  de de desserte de l’Université Protestante d'Afrique centrale  a Yaoundé;2019-2020
14A465S;Valorisation des matériaux locaux dans la conception architecturale en milieu sahélien : conception d'une cite sic;2019-2020
18A0493P;Étude de génie civil d'un amphi 1000 a structure mixte  pour le compte de l'ish de Yabassi;2019-2020
15E884S;Étude structurale d'un immeuble R+5 sur un sol gonflant;2019-2020
16F259S;Étude du confort thermique dans un bâtiment hospitalier en milieu sahélien :;2020-2021
15E882S;Renforcement des équipements sociaux-culturel au Cameroun : proposition d’un musée national dans la ville de maroua..;2020-2021
16F509S;Reconstruction de la route actuelle rond point prison-marche abattoir dans la ville de marouaa avec une couche de roulement en paves.;2020-2021
19A0091P;Étude technique d'un pont en béton armé de 70ml en vue de remplacement du pont de Palar effondré le 31 août 2020;2020-2021
19A0092P;Étude de réhabilitation de la route nationale no1 Ngaoundéré – Garoua tronçon total aéroport- rond point Mardock , longue de 4km.;2020-2021
19A0093P;Conception et dimensionnement d’une tribune (acier et béton armé) à batseng'la ( petit village du groupement Bafou Cameroun);2020-2021
18A0412P;Amélioration des propriétés géotechniques d'un sol gonflant servant de support à une chaussée: cas de la route Maltam - Bbodo;2020-2021
19A0095P;Écoconstruction : valorisation des matériaux locaux, pour améliorer le confort dans le bâtiment (R+1) dans la ville de Maroua;2020-2021
18A0579P;Étude technique d'un bâtiment R+7 à usage hôtelier dans ville de Douala au lieu dit entrée Elecam Bonamoussadi;2020-2021
19A0097P;Étude structural et dimensionnement d'un immeuble de type R+3 à usage de bureaux dans la ville de Yaoundé;2020-2021
16F212S;Valorisation et innovation des constructions collectives cas de la conception et de la construction des logements sociaux dePpolii;2020-2021
16F383S;Projet de construction d’un immeuble R+5 avec sous-sol dans la ville de Maroua à usage administratif;2020-2021
18A0414P;Étude d'un hôpital ultra moderne ;2020-2021
19A0102P;Projet de construction de l'hôtel de ville d'Ebolowa: études architecturales, techniques et administratives de deux bâtiments de type R+4 et R+2;2020-2021
15E825S;Études hydrologique et hydraulique et conception d’un ouvrage de franchissement : cas du pont d'Ouro-Tchede à Maroua;2020-2021
16F386S;La conception architecturale d'un centre culturel à N’Djamena au quartier Toukra.;2020-2021
18A0626P;Procédés analytiques d’un édifice de type R+2 à usage éducatif dans la ville de Touboro;2020-2021
19A0106P;Étude et dimensionnement de l’ensemble des infrastructures de la station de pesage : cas du projet de réhabilitation de la route bitumée Maroua-Mora;2020-2021
16F274S;Conception et dimensionnement d’une residence R+4 sol dans la ville de Yaoundé;2020-2021
19A0109P;Dimensionnement des éléments porteurs d’un bâtiment bloc pédagogique R+1, extensible à R+3 à l’Université de Maroua.;2020-2021
19A0110P;Exécution d'une route revêtue en enduits superficiels bicouche: cas de la voie contournement djunang (meka)-inter rn4 et djunang (lycée)-tocket (lycée technique canada);2020-2021
16F365S;Réalisation d'un ouvrage hydraulique dans la ville de MORA (triple dalot avec mur de soutènement);2020-2021
19A0112P;Conception et calcul de structure d'une clinique pédiatrique ;2020-2021
18A0415P;Valorisation des architectures traditionnelles de Kousseri : complexe commercial à Kousseri;2020-2021
19A0114P;Étude structurale d’un bâtiment de type R+4 à usage habitation dans la ville de DOUALA;2020-2021
19A0115P;Conception et étude technique d'un complexe hôtelier (R+5) ;2020-2021
16F264S;Optimisation énergétique du bâtiment en zone sahélienne : cas d’un bâtiment de type R+2 à usage d’habitation dans la ville de Maroua;2020-2021
19A0117P;Conception d'un bâtiment r+4 avec ses intégrants confort thermique, énergie solaire passive et facilite de déplacements verticaux;2020-2021
19A0118P;Étude, conception et dimensionnement d’un nouveau pont sur le Mayo Bonéyé à YAMSONGAH dans la province de Bongor (Tchad).;2020-2021
14A265S;Dimensionnement d’une structure de chaussée en béton bitumineux. Cas de l’axe carrefour SHELL-CSI DOUGOUI soit 1,6 km dans la commune de Maroua 3eme;2020-2021
15E883S;Étude technique en vue de l'aménagement et du bitumage des voiries de Mindif;2020-2021
19A0122P;Étude de bitumage de route rural, avec l’utilisation de produit stabilisant con aid cbr /plus : cas de la route Saotchai Dacheka –Takreo- Yoldeo- Doukoula (20 km;2020-2021
16F285S;Paramètres qui influencent une chaussée reposant sur un sol gonflant : cas de la route KOUSSERI-LOGONE BIRNI;2020-2021
16F184S;Identité architecturale et développement durable au Cameroun : Conception/Dimensionnement d’un lieu de loisir et de repos dans l’arrondissement de DIBOMBARI DEPARTEMENT DU MOUNGO;2020-2021
18A0488P;Études techniques et dimensionnements d’un pont BA de 120 ml pour le franchissement du mayo Limani situe a 20,4 km de Mora route Mora-Kourgui-Amchide, Département du Mayo Sava, région de l’extrême-nord;2020-2021
19A0126P;Étude technique détaillée d'une gare routière et d'un réservoir en béton armé à BEKA (NGAOUNDERE);2020-2021
19A0210P;Impacts socio-environnementaux de l'extension du réseau d'éclairage public par des lampadaires solaires photovoltaïques dans la ville de Garoua.;2020-2021
14A161S;Analyse des impacts sanitaires des risques liés aux inondations dans la plaine du Logone: cas du village ARAINABA.;2020-2021
14A347S;Évaluation des impacts économiques de la régénération des écosystèmes dégradés dans le site de Gawel.;2020-2021
19A0213P;Analyse des impacts des biefs sur la nature et le mieux-être des populations dans la commune de Meri: cas du canton de Wazang.;2020-2021
16F230S;Évaluation de la surveillance environnementale du projet de construction d’un centre directeur des opérations d’urgence a l’aéroport international de Maroua Salak.;2020-2021
19A0217P;Contribution du système d'information géographique pour la gestion des zones à risques d’inondation : cas de Garoua 2eme.;2020-2021
19A0218P;Dynamique du couvert végétal ligneux dans la réserve forestière de Kalfou.;2020-2021
19A0219P;Évaluation des risques professionnels par la méthode AMDEC dans un projet de construction : cas de la construction d'un centre directeur des opérations d'urgences à l'aéroport de Maroua Salak.;2020-2021
19A0220P;Audit environnemental et social du camp sic de cite verte Yaoundé.;2020-2021
19A0221P;Évaluation d'impacts environnementaux et sociaux du projet de construction d'un centre directeur des opérations d'urgences a l’aéroport de Maroua Salak.;2020-2021
16F240S;Production et caractérisation du charbon actif pour le traitement d'eau de forage dans la ville de Douala : cas d'un forage du quartier Kotto.;2020-2021
19A0223P;Valorisation des déchets d'abattoir industriels de Wakwa.;2020-2021
18A0144P;Évaluation des impacts environnementaux et sociaux des travaux de réhabilitation des Pistes rurales Diguilao-Wibiwa-Tchatibali par le PRESIBALT;2020-2021
19A0225P;Évaluation de la mise en œuvre du plan de gestion environnemental et social d'un projet de réhabilitation de 11,5 KM  de la piste rurale DOULEK-MERI par PRESIBALT.;2020-2021
19A0226P;Impact socio-économique et environnementaux d'un Bief dans la commune de MINDIF.;2020-2021
19A0228P;La gestion environnementale des boues de vidange des fosses septiques : cas de la commune de Mokolo.;2020-2021
19A0230P;Traitement de la vinasse de canne à sucre et optimisation de la production de Biothanol d'une distillerie : cas de la distillerie NODISCAM à Mbandjock.;2020-2021
15E591S;Évaluation des sites reboisés dans la région de l'Extrême nord cas de la commune de Maroua 1er.;2020-2021
15E087S;Étude d’impact socio-environnemental de l'intervention du programme ASGIRAP dans les communautés rurales : cas du village Dolla.;2020-2021
16F214S;Contraintes et opportunités liées à l’accès à l’eau potable dans la région de l'Extrême-Nord cas de Lougueo.;2020-2021
15E720S;Analyse socio-économique des impacts liés à l'exploitation des carrières de pierres à l'Extrême nord Cameroun : cas des carrières de fortunes dans la commune de Maroua 1;2020-2021
14A411S;inondations et systèmes de drainage des eaux pluviales: cas de la commune de Maroua 1er.;2020-2021
14A696S;vulnérabilité et adaptation des populations en contexte d'inondation dans la commune de Maroua 2e: cas du quartier Doualaré.;2020-2021
16F321S;gestion des systèmes de drainage des eaux fluviales et la propagation des maladies hydriques dans la commune de Garoua 1 et 2;2020-2021
15E986S;Impact de l'installation des Énergies renouvelables sur le développement socio-économique, culturel et environnemental des populations rurales: cas de la commune de Zina dans le Logone et Chari ;2020-2021
15E822S;Proposition d'un plan de reboisement du site de Kongola.;2020-2021
19A0241P;Optimisation de la stabilité des agents de mouture dans la poudre pressée;2020-2021
19A0242P;Évaluation des risques environnementaux des produits phytosanitaires dans la zone maraîchère de Mokolo.;2020-2021
15E823S;Conception d'un foyer amélioré a base de briques de terre cuites et du ciment.;2020-2021
16F258S;Contribution des espaces verts dans l'atteinte des objectifs du développement durable dans la ville de Maroua. ;2020-2021
16F289S;Suivi et gestion des déchets du projet de construction du centre directeur des opérations d'urgences à l'Aéroport de Maroua Salak.;2020-2021
16F296S;Évaluation de l'environnement direct du site de construction de l'hôpital de référence de Garoua : risques, modification et réhabilitation.;2020-2021
16F272S;Contribution des écosystèmes dégradés réhabilités par la CBLT à la restauration des services écosystémiques dans la région de l'Extrême- nord Cameroun : cas des plantations d'agroforesterie de Salak et de Godola.;2020-2021
